data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6453422,682,SAU4868,4868,"29 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,2,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 29, pro-Houthi forces claimed to have fired artillery at Saudi-affiliated forces west of Al-Mijazah area in Asir governorate, and to have destroyed a military vehicle in Al-Mijazah with a guided missile, with no report of fatalities nor injuries.",0,1576530941,SAU
6453428,682,SAU4869,4869,"29 April 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Raboah",17.576,43.3246,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 29, pro-Houthi forces claimed to have killed 8 Saudi-affiliated fighters with sniper fire off Alb border crossing and in Al-Rabu'ah area of Asir governorate. Fatalities split across two locations.",4,1576530941,SAU
6453434,682,SAU4865,4865,"28 April 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Jabal al Sudais",17.4361,44.1611,2,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have carried out a joint drone and artillery attack against Saudi-affiliated forces off Al-Sudays area in Najran governorate, injuring a number of fighters.",0,1576530941,SAU
6453441,682,SAU4858,4858,"28 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Raboah",17.576,43.3246,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have destroyed a military vehicle belonging to Saudi-affiliated forces with artillery fire in Al-Rabu'ah area of Asir governorate, killing and injuring those on board. Unknown reported fatalities coded as 10.",10,1576530941,SAU
6453442,682,SAU4857,4857,"28 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Asir,"Zahran al Janub",,"Al Mijazah",17.5204,43.5667,2,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have fired artillery and two Zilzal-1 type ballistic missiles at Saudi-affiliated forces west of Al-Mijazah area in Asir governorate, injuring a number of fighters.",0,1576530941,SAU
6453447,682,SAU4867,4867,"28 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Sharurah,,"Umm al Hajlah",17.2588,47.1789,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have fired a Zilzal-1 type ballistic missile and artillery shells at Saudi-affiliated forces in Al-Hajlah area of Najran governorate, killing and injuring a number of soldiers. Unknown reported fatalities coded as 10.",10,1576530941,SAU
6453448,682,SAU4861,4861,"28 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Al Khobh",16.7818,43.2157,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have fired two Zilzal-1 type ballistic missiles at Saudi-affiliated forces in Faridah site in Al-Khobh area of governorate, with no report of fatalities nor injuries.",0,1576530941,SAU
6453450,682,SAU4863,4863,"28 April 2019",2019,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Al Ajashir",17.3138,45.6726,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have destroyed two military vehicles belonging to Saudi-affiliated forces with explosive devices in Al-Ajashir desert area of Najran governorate, killing and injuring those onboard. Unknown reported fatalities coded as 10.",10,1576530941,SAU
6453451,682,SAU4864,4864,"28 April 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Militia (Pro-Government)","Military Forces of Saudi Arabia (2015-)",3,38,"Middle East","Saudi Arabia",Najran,Najran,,"Al Buqa",17.4712,44.6451,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have shelled Saudi-affiliated forces in Al-Buqa' desert area off Najran governorate, killing and injuring a number of fighters. Unknown reported fatalities coded as 10.",10,1576530941,SAU
6453454,682,SAU4862,4862,"28 April 2019",2019,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,8,"Military Forces of Saudi Arabia (2015-)",,1,18,"Middle East","Saudi Arabia",Jizan,"Al Harth",,"Al Khobh",16.7818,43.2157,1,"Yemen News Agency SABA; Yemen Data Project","Local partner-Regional","On April 28, pro-Houthi forces claimed to have killed a Saudi soldier with sniper fire in Al-Faridah site in Al-Khobh area of Jizan governorate.",1,1576530941,SAU
